time,tvlusd,tvleth,dai
2019-08-10 02:00:00,277688378,1318746.155672698,
2019-08-09 02:00:00,291644833,1314959.3444249064,
2019-08-08 02:00:00,297521485,1314605.3596677273,
2019-08-07 02:00:00,296545452,1311219.7205518216,
2019-08-06 02:00:00,315904268,1354707.6118186887,
2019-08-05 02:00:00,302655596,1358357.3268704277,
2019-08-04 02:00:00,301989146,1358414.5832396203,
2019-08-03 02:00:00,295921181,1358308.9185715597,
2019-08-02 02:00:00,296416945,1359773.1317950364,
2019-08-01 02:00:00,301566744,1379221.330894123,
2019-07-31 02:00:00,292020892,1387997.9656827797,
2019-07-30 02:00:00,292862178,1387380.633852859,
2019-07-29 02:00:00,291076759,1378073.8519079632,
2019-07-28 02:00:00,285206684,1375020.1716324366,
2019-07-27 02:00:00,302028789,1374670.1970779663,
2019-07-26 02:00:00,303790893,1383382.93715847,
2019-07-25 02:00:00,303761361,1400273.641266768,
2019-07-24 02:00:00,299136946,1408830.3395657702,
2019-07-23 02:00:00,318154409,1463586.3878921703,
2019-07-22 02:00:00,348654439,1547237.237063992,
2019-07-21 02:00:00,353040736,1541999.2836863946,
2019-07-20 02:00:00,342543086,1547238.2944125752,
2019-07-19 02:00:00,355708024,1575183.880967142,
2019-07-18 02:00:00,332958014,1574641.8254906598,
2019-07-17 02:00:00,306925671,1545368.667237299,
2019-07-16 02:00:00,343599053,1504967.1630677588,
2019-07-15 02:00:00,340556647,1504956.6794820805,
2019-07-14 02:00:00,404873544,1503987.9049034177,
2019-07-13 02:00:00,413792480,1506452.8906363768,
2019-07-12 02:00:00,407058995,1514525.4120623583,
2019-07-11 02:00:00,435236930,1508411.0695224232,
2019-07-10 02:00:00,465215066,1510880.0168880515,
2019-07-09 02:00:00,473719648,1514206.9618027809,
2019-07-08 02:00:00,462840780,1514035.9175662415,
2019-07-07 02:00:00,436233445,1513070.8091984321,
2019-07-06 02:00:00,436272687,1519214.0091235156,
2019-07-05 02:00:00,430478268,1518281.1977568513,
2019-07-04 02:00:00,459976932,1522749.4686662033,
2019-07-03 02:00:00,443010195,1518822.6652495887,
2019-07-02 02:00:00,445586978,1512309.862883519,
2019-07-01 02:00:00,436091572,1503142.0515648697,
2019-06-30 02:00:00,478360920,1501446.70433145,
2019-06-29 02:00:00,467660028,1503488.2751969136,
2019-06-28 02:00:00,447878992,1518028.0368763555,
2019-06-27 02:00:00,505436193,1515005.6741202564,
2019-06-26 02:00:00,492278239,1558286.344211959,
2019-06-25 02:00:00,496596445,1596516.4603761453,
2019-06-24 02:00:00,494477569,1603520.3456886208,
2019-06-23 02:00:00,503590366,1623280.6820745897,
2019-06-22 02:00:00,481008203,1625796.670722639,
2019-06-21 02:00:00,441867224,1626784.56667403,
2019-06-20 02:00:00,438410076,1632873.0157547768,
2019-06-19 02:00:00,432321448,1633620.9492140268,
2019-06-18 02:00:00,447238282,1636197.709811956,
2019-06-17 02:00:00,440008078,1641270.0138013356,
2019-06-16 02:00:00,438592003,1635073.0800775425,
2019-06-15 02:00:00,431638025,1639526.0568997608,
2019-06-14 02:00:00,417561940,1639233.4628822675,
2019-06-13 02:00:00,431780047,1645942.3131170664,
2019-06-12 02:00:00,402625986,1644713.995098039,
2019-06-11 02:00:00,406458426,1645580.6720647772,
2019-06-10 02:00:00,381551064,1647812.843878212,
2019-06-09 02:00:00,401254057,1646643.3724556796,
2019-06-08 02:00:00,410732538,1647411.1102197978,
2019-06-07 02:00:00,409754630,1647387.2472158566,
2019-06-06 02:00:00,405503657,1647518.209889083,
2019-06-05 02:00:00,397214320,1646688.9975955558,
2019-06-04 02:00:00,409850450,1636913.6911893922,
2019-06-03 02:00:00,441636307,1641587.5813106347,
2019-06-02 02:00:00,434179928,1641325.8534003706,
2019-06-01 02:00:00,439986575,1643396.6122586187,
2019-05-31 02:00:00,417024968,1636675.698587127,
2019-05-30 02:00:00,441581063,1640162.9201797717,
2019-05-29 02:00:00,445690230,1643582.3653058966,
2019-05-28 02:00:00,465286644,1714015.4866278642,
2019-05-27 02:00:00,469582697,1760187.0342604395,
2019-05-26 02:00:00,441256173,1760869.041063091,
2019-05-25 02:00:00,440331919,1766131.5538264078,
2019-05-24 02:00:00,431264212,1759185.0377320007,
2019-05-23 02:00:00,429151005,1760547.2801115853,
2019-05-22 02:00:00,450779531,1772977.5063913472,
2019-05-21 02:00:00,451326228,1790977.0952380951,
2019-05-20 02:00:00,469983782,1804506.74601651,
2019-05-19 02:00:00,422201615,1806055.5888266244,
2019-05-18 02:00:00,440177577,1806523.750307806,
2019-05-17 02:00:00,478626003,1809823.8032216593,
2019-05-16 02:00:00,478311023,1932491.7094258817,
2019-05-15 02:00:00,426465422,1967182.1670741271,
2019-05-14 02:00:00,384742019,1968392.6071830553,
2019-05-13 02:00:00,371850903,1976878.8038277512,
2019-05-12 02:00:00,375296223,1959055.2957143604,
2019-05-11 02:00:00,340948414,1969889.1495262305,
2019-05-10 02:00:00,340200871,1984604.3110488858,
2019-05-09 02:00:00,343356058,1994516.747022945,
2019-05-08 02:00:00,340329273,1995714.9651087786,
2019-05-07 02:00:00,348968518,1999704.9911179875,
2019-05-06 02:00:00,330787379,2014048.8248904042,
2019-05-05 02:00:00,334300116,2015312.973233663,
2019-05-04 02:00:00,342484909,2018178.6034177963,
2019-05-03 02:00:00,331918565,2029958.8098587242,
2019-05-02 02:00:00,329651059,2035511.3244828652,
2019-05-01 02:00:00,336852364,2037701.070715625,
2019-04-30 02:00:00,319474405,2042152.934032217,
2019-04-29 02:00:00,325034818,2042445.7584516779,
2019-04-28 02:00:00,327440630,2047015.6914228557,
2019-04-27 02:00:00,326483844,2063480.242700038,
2019-04-26 02:00:00,320492565,2078690.9132183162,
2019-04-25 02:00:00,346650581,2092289.8418638338,
2019-04-24 02:00:00,356782855,2096502.8499236102,
2019-04-23 02:00:00,359581512,2097908.471411902,
2019-04-22 02:00:00,357285849,2097979.148561362,
2019-04-21 02:00:00,365126340,2098909.7493676706,
2019-04-20 02:00:00,372258477,2137819.313156837,
2019-04-19 02:00:00,374262032,2143539.7021764033,
2019-04-18 02:00:00,361512368,2164485.4987426656,
2019-04-17 02:00:00,361305438,2164801.9053325346,
2019-04-16 02:00:00,347563743,2168208.0037429817,
2019-04-15 02:00:00,368582605,2185099.626511738,
2019-04-14 02:00:00,359246324,2183470.0297818026,
2019-04-13 02:00:00,360820063,2192635.2880408363,
2019-04-12 02:00:00,363516417,2199929.901960784,
2019-04-11 02:00:00,392823245,2214461.0462822034,
2019-04-10 02:00:00,387121662,2195812.036301758,
2019-04-09 02:00:00,398303961,2199845.1397326854,
2019-04-08 02:00:00,386616440,2202064.361793017,
2019-04-07 02:00:00,362320266,2178976.822227568,
2019-04-06 02:00:00,363449773,2184324.6168639944,
2019-04-05 02:00:00,342710509,2168093.3067628266,
2019-04-04 02:00:00,348377361,2161418.048144931,
2019-04-03 02:00:00,358725144,2175014.5152488933,
2019-04-02 02:00:00,308004920,2171342.4039478325,
2019-04-01 02:00:00,309137114,2170906.699438202,
2019-03-31 01:00:00,310971005,2170221.264568358,
2019-03-30 01:00:00,312511842,2164059.5665120143,
2019-03-29 01:00:00,300486021,2171298.6559722526,
2019-03-28 01:00:00,304906521,2174331.605219996,
2019-03-27 01:00:00,292283007,2176506.1210812423,
2019-03-26 01:00:00,291376989,2175104.4266945357,
2019-03-25 01:00:00,296402030,2176066.5883562146,
2019-03-24 01:00:00,300094283,2178701.0527080004,
2019-03-23 01:00:00,297942858,2178581.880666862,
2019-03-22 01:00:00,298190949,2198886.136715581,
2019-03-21 01:00:00,310038772,2211088.090144059,
2019-03-20 01:00:00,308770555,2214043.8476982648,
2019-03-19 01:00:00,306726515,2214631.8772563175,
2019-03-18 01:00:00,309127818,2212164.1477028765,
2019-03-17 01:00:00,308564102,2177894.565217391,
2019-03-16 01:00:00,300408403,2182724.718448013,
2019-03-15 01:00:00,288780286,2173077.6281134775,
2019-03-14 01:00:00,288534712,2170576.3334085606,
2019-03-13 01:00:00,291602328,2170144.5858450546,
2019-03-12 01:00:00,289360621,2166846.046128501,
2019-03-11 01:00:00,294906101,2162702.412731006,
2019-03-10 01:00:00,298742471,2161042.1802662034,
2019-03-09 01:00:00,291130979,2165830.8213063534,
2019-03-08 01:00:00,298372549,2167617.5009081,
2019-03-07 01:00:00,300234603,2167915.3946133293,
2019-03-06 01:00:00,297264208,2155181.671862539,
2019-03-05 01:00:00,272355791,2154202.2542118165,
2019-03-04 01:00:00,279231398,2128125.889794985,
2019-03-03 01:00:00,285378345,2132713.138031537,
2019-03-02 01:00:00,289584850,2126954.4619904514,
2019-03-01 01:00:00,287439574,2109029.0850392547,
2019-02-28 01:00:00,286020068,2104016.978078564,
2019-02-27 01:00:00,288116847,2101202.2097432907,
2019-02-26 01:00:00,291168045,2094432.779456193,
2019-02-25 01:00:00,277950650,2083275.7457652527,
2019-02-24 01:00:00,332429429,2084458.4211186357,
2019-02-23 01:00:00,309469884,2076421.658615137,
2019-02-22 01:00:00,302116100,2064198.5515168076,
2019-02-21 01:00:00,307826633,2062766.420960933,
2019-02-20 01:00:00,298303629,2065814.6052631577,
2019-02-19 01:00:00,301962641,2060756.4389544802,
2019-02-18 01:00:00,276763920,2061095.6210902592,
2019-02-17 01:00:00,253326835,2055223.3895829953,
2019-02-16 01:00:00,250355718,2051759.6951319457,
2019-02-15 01:00:00,247742415,2049999.2966487382,
2019-02-14 01:00:00,250577143,2048705.2816613524,
2019-02-13 01:00:00,250602692,2043567.5772649434,
2019-02-12 01:00:00,246357789,2040061.1874792976,
2019-02-11 01:00:00,257965003,2054188.5889472847,
2019-02-10 01:00:00,245956461,2058902.23505776,
2019-02-09 01:00:00,243419179,2037151.0502970961,
2019-02-08 01:00:00,213954531,2051337.7852348995,
2019-02-07 01:00:00,214018477,2048023.7033492823,
2019-02-06 01:00:00,216886585,2028304.357991209,
2019-02-05 01:00:00,216550306,2025727.8391019644,
2019-02-04 01:00:00,215913780,2013933.2151851507,
2019-02-03 01:00:00,223161354,2010462.6486486488,
2019-02-02 01:00:00,214341106,2002626.422498365,
2019-02-01 01:00:00,213828467,2000453.4287585367,
2019-01-31 01:00:00,217645907,1996018.9563462948,
2019-01-30 01:00:00,208365810,1989172.4105011933,
2019-01-29 01:00:00,210170626,1976030.7070327192,
2019-01-28 01:00:00,220499775,1964013.316112942,
2019-01-27 01:00:00,228282493,1962369.9217742628,
2019-01-26 01:00:00,227166658,1959684.7653554175,
2019-01-25 01:00:00,230422972,1957714.2905692437,
